GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker-model,pl.edu.agh.kis.pz1.util,Deck,8,103,0,6,4,18,2,8,2,5
poker-model,pl.edu.agh.kis.pz1.util,Card.Suit,0,52,0,0,0,11,0,4,0,4
poker-model,pl.edu.agh.kis.pz1.util,Card.Rank,0,124,0,0,0,20,0,4,0,4
poker-model,pl.edu.agh.kis.pz1.util,Card,35,44,8,2,5,9,6,4,2,3
poker-model,pl.edu.agh.kis.pz1.util,Hand,56,904,18,144,10,163,17,94,2,28
