GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poker-client,pl.edu.agh.kis.pz1,PokerClient.CheckServerAnswers,49,0,4,0,16,0,4,0,2,0
poker-client,pl.edu.agh.kis.pz1,PokerClient,65,19,4,0,22,6,3,2,1,2
poker-client,pl.edu.agh.kis.pz1,Main2,40,8,2,0,14,2,2,2,1,2
